Unnamed: 0,year,month,day,store_number,zip_code,county_number,category,vendor_number,item_number,pack,bottle_vol,bottle_cost,state_bottle_retail,bottles_sold,sale,fd,vol_sold,store_subnumber
8428289,2016,1,4,4379,-15270,77,1012100,115,11774,24,375,3.07,4.61,6,27.66,3.4438313999999997,2.25,100
8428290,2016,1,4,4859,-12935,29,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,6604
8428291,2016,1,4,4644,-12733,82,1012100,115,11774,24,375,3.07,4.61,10,46.1,3.996324,3.75,588
8428292,2016,1,4,4641,-15221,77,1012100,115,11774,24,375,3.07,4.61,9,41.49,3.8818623999999997,3.38,573
8428293,2016,1,4,3907,-12775,70,1012100,115,11774,24,375,3.07,4.61,2,9.22,2.27637,0.75,100
8428294,2016,1,4,4361,-15223,77,1012100,115,11774,24,375,3.07,4.61,8,36.88,3.7542176,3.0,100
8428295,2016,1,4,5072,-12895,44,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,100
8428296,2016,1,4,2633,-15216,77,1081700,305,42599,6,750,18.34,27.51,6,165.06,5.403185400000001,4.5,100
8428297,2016,1,4,2590,-13134,57,1062050,389,42666,12,750,9.98,14.97,2,29.94,3.5290953999999997,1.5,5
8428298,2016,1,4,2643,-14835,7,1062050,389,42666,12,750,9.98,14.97,3,44.91,3.9678879,2.25,100
8428299,2016,1,4,2647,-13125,57,1062300,91,42566,12,750,9.51,14.27,3,42.81,3.9158595000000003,2.25,7
8428300,2016,1,4,2601,-12980,51,1062300,91,42566,12,750,9.51,14.27,12,171.24,5.444314,9.0,100
8428301,2016,1,4,2191,-12904,56,1062300,91,42566,12,750,9.51,14.27,1,14.27,2.7371619,0.75,100
8428302,2016,1,4,2662,-12775,70,1062050,389,42507,12,750,14.99,22.49,2,44.98,3.969581,1.5,100
8428303,2016,1,4,4166,-14888,10,1062200,35,42370,12,750,12.5,18.75,1,18.75,3.0274532,0.75,100
8428304,2016,1,4,4482,-15411,91,1062300,370,42312,12,750,8.49,12.74,2,25.48,3.3556175,1.5,929
8428305,2016,1,4,2190,-15222,77,1062300,370,42312,12,750,8.49,12.74,2,25.48,3.3556175,1.5,100
8428306,2016,1,4,2538,-14834,7,1062050,305,42244,12,750,9.42,14.13,1,14.13,2.726712,0.75,3
8428307,2016,1,4,2521,-15271,77,1062050,305,42242,12,750,9.42,14.13,2,28.26,3.4669175,1.5,100
8428308,2016,1,4,2573,-12775,70,1062050,305,42242,12,750,9.42,14.13,2,28.26,3.4669175,1.5,100
8428309,2016,1,4,2538,-14834,7,1062050,305,42242,12,750,9.42,14.13,2,28.26,3.4669175,1.5,3
8428310,2016,1,4,2512,-13296,52,1062050,305,42240,12,750,9.42,14.13,2,28.26,3.4669175,1.5,100
8428311,2016,1,4,2538,-14834,7,1062050,305,42240,12,750,9.42,14.13,3,42.39,3.9051546999999998,2.25,3
8428312,2016,1,4,2538,-14834,7,1062050,305,42204,12,750,9.42,14.13,1,14.13,2.726712,0.75,3
8428313,2016,1,4,5054,-13449,28,1062300,305,42177,12,500,5.05,7.58,3,22.74,3.2336294999999997,1.5,100
8428314,2016,1,4,2538,-14834,7,1081700,370,42175,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,3
8428315,2016,1,4,3562,-12881,29,1081700,370,42175,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428316,2016,1,4,3868,-13234,57,1081700,370,42175,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428317,2016,1,4,3690,-14834,7,1081700,370,42175,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428318,2016,1,4,2633,-15216,77,1062100,260,42167,12,1000,12.5,18.75,12,225.0,5.750863,12.0,100
8428319,2016,1,4,3773,-13135,57,1062100,260,42167,12,1000,12.5,18.75,3,56.25,4.213229,3.0,100
8428320,2016,1,4,2191,-12904,56,1062100,260,42167,12,1000,12.5,18.75,1,18.75,3.0274532,1.0,100
8428321,2016,1,4,2605,-13134,57,1062100,260,42166,12,750,10.0,15.0,2,30.0,3.5312523999999996,1.5,5
8428322,2016,1,4,2588,-13133,57,1062100,260,42166,12,750,10.0,15.0,3,45.0,3.9700642,2.25,6
8428323,2016,1,4,2512,-13296,52,1062100,260,42166,12,750,10.0,15.0,4,60.0,4.2837806,3.0,100
8428324,2016,1,4,2648,-15271,77,1062100,260,42166,12,750,10.0,15.0,6,90.0,4.7293134000000006,4.5,4
8428325,2016,1,4,3562,-12881,29,1062300,370,42676,12,750,7.49,11.24,12,134.88,5.1778355000000005,9.0,100
8428326,2016,1,4,4152,-13981,43,1062100,260,42166,12,750,10.0,15.0,5,75.0,4.528485,3.75,100
